2, 2, B
    3, 3, W
        2, 3, B
            3, 4, W
                4, 1, B
                    6, 3, W
                        1, 5, B
                            3, 7, W
                        5, 3, B
                            5, 4, W
                                5, 2, B
                                    6, 4, W
                                        7, 2, B
                                            2, 4, W
                        2, 5, B
                            2, 4, W
                                1, 4, B
                                    1, 5, W
                                        1, 6, B
                                            3, 5, W
                                                2, 6, B
                                                    3, 2, W
                                                        3, 1, B
                                                            1, 3, W
                                                                0, 5, B
                                                                    2, 1, W
                                                                        1, 2, B
                                                                            1, 1, W
                                                                                0, 3, B
                                                                                    5, 1, W
                                                                                        5, 2, B
                                                                                            6, 1, W
                                                                                                4, 2, B
                                                                                                    5, 3, W
                            4, 6, W
                                2, 6, B
                                -1, -1, B
                                    2, 6, W
                                        1, 5, B
                        -1, -1, B
                            2, 4, W
                                5, 3, B
                                    5, 4, W
                                        5, 2, B
                                            6, 5, W
                                                7, 4, B
                                                    6, 4, W
                                                        7, 2, B
                                                            7, 3, W
                                                                10, 2, B
                                5, 2, B
                                    5, 3, W
                                        7, 2, B
                                -1, -1, B
                                    5, 2, W
                                        5, 1, B
                                            6, 1, W
                                                4, 2, B
                                                    4, 3, W
                                                        -1, -1, B
                                                            1, 4, W
                                                                1, 1, B
                                    6, 1, W
                                        1, 4, B
                                            1, 5, W
                                                1, 3, B
****************************
                    2, 4, W
                        5, 3, B
                            2, 8, W
                            5, 2, W
                                4, 2, B
                                    6, 2, W
                                        4, 3, B
                                            2, 8, W
                            5, 4, W
                                6, 4, B
                                    6, 5, W
                                        7, 4, B
                                            5, 6, W
                                        5, 5, B
                                            5, 6, W
                                                4, 4, B
                                                    4, 5, W
                                                        5, 4, B
                                                            4, 6, W
                                                                6, 6, B
                                                                    7, 5, W
                                                                        6, 7, B
                                                                            7, 4, W
                                                                                5, 2, B
                                                                                    3, 9, W
                                                                                        10, 7, B
                                    5, 5, W
                                        7, 3, B
                        3, 8, B
                            6, 3, W
                            16, 10, W
                                5, 3, B
                                    3, 6, W
                                        15, 10, B
                                            2, 9, W
                                                3, 9, B
                                                    2, 8, W
                                                        3, 7, B
                        -1, -1, B
                            5, 2, W
                                4, 2, B
                                    5, 4, W
                                        5, 3, B
                    5, 2, W
                        2, 4, B
                            2, 5, W
                                3, 5, B
                                    2, 6, W
                                        4, 2, B
                                            5, 3, W
                                                4, 3, B
                                                    4, 5, W
                                                        4, 4, B
                                                    4, 4, W
                                                        5, 4, B
                                                            5, 5, W
                                                                6, 4, B
                                                                    4, 5, W
                                                                        6, 2, B
                                                            4, 5, W
                                                                6, 4, B
                                                                    7, 2, W
                                                                        7, 3, B
                                                                            6, 2, W
                                                                                10, 2, B
                                                                                    10, 3, W
                                                                                        10, 4, B
                                                                                            10, 1, W
                                                                                                9, 3, B
                                                                                                    9, 2, W
                                                                                                        10, 3, B
                                                                                                            8, 2, W
                                                                            6, 1, W
                                                                                6, 2, B
                                                                                    5, 1, W
                                                                                        10, 2, B
                                                                                            6, 3, W
                                                                                                10, 4, B
                                                                                                    10, 1, W
                                                                                                        9, 2, B
                                                                                10, 3, B
                                                                                    10, 2, W
                                                                                        9, 2, B
                                                                                            9, 1, W
                                                                                                8, 2, B
                                                                                                    8, 1, W
                                                                                                        7, 2, B
                                                                                10, 2, B
                                                                                    10, 3, W
                                                                                        6, 2, B
                                                                                            6, 3, W
                                                                                                7, 4, B
                                                                                                    10, 1, W
                                                                                                        9, 2, B
                                                                                                            9, 1, W
                                                                                                                5, 1, B
                                                                                                                    6, 2, W
                                                                                                                        6, 0, B
                                                                                                                            7, 1, W
                                                                                                                                8, 2, B
                                                                            10, 2, W
                                                                                6, 2, B
                                                                                    6, 1, W
                                                                                        5, 1, B
